recommendation,segment,ichome_title,jan,price,url,reason,next_check
S,携帯PC/Steam Deck,ASUS ROG Xbox Ally X 1TB ブラック,0199291152984,149000,https://www.1-chome.com/wineDetail/7780/7780,高単価で既存せどりナビのSteam Deck/Xbox系と近い。型番JANも安定している。,ヤフオク落札実績と他業者取扱有無
S,携帯PC/Steam Deck,Steam Deck 有機EL 1TB WHITE 限定版,0814585022513,131000,https://www.1-chome.com/wineDetail/6285/6285,高単価で既存せどりナビのSteam Deck/Xbox系と近い。型番JANも安定している。,ヤフオク落札実績と他業者取扱有無
S,PS5 限定/同梱本体,PlayStation5 Slim コントローラー ダブルパック CFIJ-10018,4948872016940,99000,https://www.1-chome.com/wineDetail/5403/5403,PS5本体派生で単価が高く、既存PS5監視との比較に向く。,通常PS5との差額、ヤフオク落札実績
S,PS5 限定/同梱本体,"PlayStation5 Slim ""フォートナイト"" CFIJ-10027",4948872017190,93500,https://www.1-chome.com/wineDetail/6308/6308,PS5本体派生で単価が高く、既存PS5監視との比較に向く。,通常PS5との差額、ヤフオク落札実績
S,PS5 限定/同梱本体,PlayStation5 Slim “モンスターハンターワイルズ” 同梱版,4948872017169,93500,https://www.1-chome.com/wineDetail/6451/6451,PS5本体派生で単価が高く、既存PS5監視との比較に向く。,通常PS5との差額、ヤフオク落札実績
S,PS5 限定/同梱本体,PlayStation5 Slim デジタル・エディション コントローラー ダブルパック CFIJ-10019,4948872016957,84000,https://www.1-chome.com/wineDetail/5404/5404,PS5本体派生で単価が高く、既存PS5監視との比較に向く。,通常PS5との差額、ヤフオク落札実績
S,携帯PC/Steam Deck,ASUS ROG Xbox Ally 512GB ホワイト,0199291143319,81200,https://www.1-chome.com/wineDetail/7781/7781,高単価で既存せどりナビのSteam Deck/Xbox系と近い。型番JANも安定している。,ヤフオク落札実績と他業者取扱有無
S,PS5 限定/同梱本体,"PlayStation5 Slim デジタル・エディション ""フォートナイト"" CFIJ-10028",4948872017206,79000,https://www.1-chome.com/wineDetail/6309/6309,PS5本体派生で単価が高く、既存PS5監視との比較に向く。,通常PS5との差額、ヤフオク落札実績
S,PlayStation 限定品,PlayStation5 デジタル・エディション 30周年 CFI-2000B30,4948872416542,75000,https://www.1-chome.com/wineDetail/6121/6121,限定品で価格差・値動きが出やすい。既存PS5周辺機器と近い。,ヤフオクでストア除外後の個人落札価格
S,Switch2 本体/セット,Nintendo Switch 2（日本語・国内専用） Pokemon LEGENDS Z-A Nintendo Switch 2 Edition セット,4902370553505,55000,https://www.1-chome.com/wineDetail/7609/7609,Switch2系は既存監視の中心に近く、セット品は値動き確認価値が高い。,通常版との差額、他業者JAN一致
S,携帯PC/Steam Deck,Steam Deck LCD 256GB,0814585022056,50000,https://www.1-chome.com/wineDetail/5475/5475,高単価で既存せどりナビのSteam Deck/Xbox系と近い。型番JANも安定している。,ヤフオク落札実績と他業者取扱有無
S,PlayStation 限定品,PS5 Edge コントローラー 30周年 CFI-ZCP1J30,4948872416504,40000,https://www.1-chome.com/wineDetail/6120/6120,限定品で価格差・値動きが出やすい。既存PS5周辺機器と近い。,ヤフオクでストア除外後の個人落札価格
S,PlayStation 限定品,PlayStation Portal(TM) リモートプレーヤー 30周年 CFIJ-18030,4948872017244,34000,https://www.1-chome.com/wineDetail/6119/6119,限定品で価格差・値動きが出やすい。既存PS5周辺機器と近い。,ヤフオクでストア除外後の個人落札価格
A,Xbox 本体/上位周辺機器,Xbox Series S 1TB XXU-00015,4549576215563,64600,https://www.1-chome.com/wineDetail/5271/5271,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Xbox 本体/上位周辺機器,Xbox Series S 512 GB RRS-00015,4549576167718,55500,https://www.1-chome.com/wineDetail/1190/1190,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Switch 限定本体,Nintendo Switch (有機ELモデル) スカーレット・バイオレット,4902370550412,45000,https://www.1-chome.com/wineDetail/4459/4459,既存Switch監視と近く、限定カラー/同梱版として比較価値がある。,通常有機ELとの買取差額
A,Switch 限定本体,Nintendo Switch (有機ELモデル) スプラトゥーン3,4902370549706,45000,https://www.1-chome.com/wineDetail/4155/4155,既存Switch監視と近く、限定カラー/同梱版として比較価値がある。,通常有機ELとの買取差額
A,Switch 限定本体,Nintendo Switch (有機ELモデル) ゼルダの伝説,4902370550481,45000,https://www.1-chome.com/wineDetail/4973/4973,既存Switch監視と近く、限定カラー/同梱版として比較価値がある。,通常有機ELとの買取差額
A,Switch 限定本体,Nintendo Switch (有機ELモデル) マリオレッド,4902370551495,41000,https://www.1-chome.com/wineDetail/5279/5279,既存Switch監視と近く、限定カラー/同梱版として比較価値がある。,通常有機ELとの買取差額
A,PlayStation 周辺機器,PlayStation Portal リモートプレーヤー ブラック CFIJ-18001,4948872017251,34000,https://www.1-chome.com/wineDetail/6364/6364,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,PlayStation 周辺機器,PS5 Edge コントローラー ブラック CFI-ZCP1J01,4948872416603,26200,https://www.1-chome.com/wineDetail/6366/6366,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,PlayStation 周辺機器,PS5 Edge コントローラー CFI-ZCP1J,4948872415712,24200,https://www.1-chome.com/wineDetail/4702/4702,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,Xbox 本体/上位周辺機器,Xbox Elite ワイヤレス コントローラー シリーズ 2 – Halo Infinite リミテッド エディション,4549576167893,24200,https://www.1-chome.com/wineDetail/1880/1880,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,PlayStation 周辺機器,PlayStation PULSE Explore ワイヤレスイヤホン CFI-ZWE1J,4948872416245,23000,https://www.1-chome.com/wineDetail/5487/5487,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,PlayStation 周辺機器,PlayStation PULSE Explore ワイヤレスイヤホン ミッドナイト ブラック CFI-ZWE1J01,4948872416641,23000,https://www.1-chome.com/wineDetail/6365/6365,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,PlayStation 周辺機器,PlayStation PULSE Explore ワイヤレスイヤホン CFI-ZWE1JC,4948872416900,22000,https://www.1-chome.com/wineDetail/8478/8478,既存のPS5系監視と近く、JAN照合しやすい。,買取一丁目以外の取扱有無
A,Xbox 本体/上位周辺機器,Xbox Elite コントローラー シリーズ 2 ブラック FST-00009,4549576126906,16800,https://www.1-chome.com/wineDetail/1828/1828,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Xbox 本体/上位周辺機器,Xbox Elite コントローラー シリーズ 2 ブルー RFZ-00019,4549576206844,14100,https://www.1-chome.com/wineDetail/4993/4993,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Xbox 本体/上位周辺機器,Xbox Elite コントローラー シリーズ 2 レッド RFZ-00015,4549576206837,14100,https://www.1-chome.com/wineDetail/4992/4992,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Xbox 本体/上位周辺機器,Xbox Elite コントローラー シリーズ 2 ホワイト 4IK-00003,4549576186054,10500,https://www.1-chome.com/wineDetail/4342/4342,Xbox系は既存カテゴリあり。高単価品は監視候補になる。,ヤフオク落札数と回転率
A,Switch2 Editionソフト,【NS2】ゼルダの伝説 ティアーズ オブ ザ キングダム Nintendo Switch 2 Edition,4902370553321,6800,https://www.1-chome.com/wineDetail/7071/7071,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】スーパー マリオパーティ ジャンボリー Nintendo Switch 2 Edition ＋ ジャンボリーTV,4902370553352,6600,https://www.1-chome.com/wineDetail/7068/7068,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】スーパーマリオブラザーズ ワンダー Nintendo Switch 2 Edition + みんなでリンリンパーク,4902370554113,6600,https://www.1-chome.com/wineDetail/8421/8421,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】ゼルダの伝説 ブレス オブ ザ ワイルド Nintendo Switch 2 Edition,4902370553291,6600,https://www.1-chome.com/wineDetail/7072/7072,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】ゼノブレイドクロス ディフィニティブエディション Nintendo Switch 2 Edition,4902370554243,6500,https://www.1-chome.com/wineDetail/8422/8422,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】星のカービィ ディスカバリー Nintendo Switch 2 Edition ＋ スターリーワールド,4902370553383,6200,https://www.1-chome.com/wineDetail/7424/7424,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】桃太郎電鉄2 ～あなたの町も きっとある～ Nintendo Switch 2 Edition 東日本編＋西日本編/Switch 2,4988602179231,6000,https://www.1-chome.com/wineDetail/7820/7820,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
