priority,status,category,ichome_title,ichome_original_title,jan,price,url,matched_product_name,matched_by,reason
A,new_candidate,ゲーム,ASUS ROG Xbox Ally X 1TB ブラック,ASUS ROG Xbox Ally X 1TB ブラック,0199291152984,149000,https://www.1-chome.com/wineDetail/7780/7780,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Steam Deck 有機EL 1TB WHITE 限定版,Steam Deck 有機EL 1TB WHITE 限定版,0814585022513,131000,https://www.1-chome.com/wineDetail/6285/6285,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 Slim コントローラー ダブルパック CFIJ-10018,PlayStation5 Slim コントローラー ダブルパック CFIJ-10018,4948872016940,99000,https://www.1-chome.com/wineDetail/5403/5403,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,"PlayStation5 Slim ""フォートナイト"" CFIJ-10027","PlayStation5 Slim ""フォートナイト""  CFIJ-10027",4948872017190,93500,https://www.1-chome.com/wineDetail/6308/6308,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 Slim “モンスターハンターワイルズ” 同梱版,PlayStation5 Slim “モンスターハンターワイルズ” 同梱版,4948872017169,93500,https://www.1-chome.com/wineDetail/6451/6451,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 Slim デジタル・エディション コントローラー ダブルパック CFIJ-10019,PlayStation5 Slim デジタル・エディション コントローラー ダブルパック CFIJ-10019,4948872016957,84000,https://www.1-chome.com/wineDetail/5404/5404,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,ASUS ROG Xbox Ally 512GB ホワイト,ASUS ROG Xbox Ally 512GB ホワイト,0199291143319,81200,https://www.1-chome.com/wineDetail/7781/7781,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,"PlayStation5 Slim デジタル・エディション ""フォートナイト"" CFIJ-10028","PlayStation5 Slim デジタル・エディション ""フォートナイト"" CFIJ-10028",4948872017206,79000,https://www.1-chome.com/wineDetail/6309/6309,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 デジタル・エディション “モンスターハンターワイルズ” 同梱版,PlayStation5 デジタル・エディション “モンスターハンターワイルズ” 同梱版,4948872017176,79000,https://www.1-chome.com/wineDetail/6452/6452,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 デジタル・エディション 30周年 CFI-2000B30,PlayStation5 デジタル・エディション 30周年 CFI-2000B30,4948872416542,75000,https://www.1-chome.com/wineDetail/6121/6121,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Xbox Series S 1TB XXU-00015,Xbox Series S 1TB  XXU-00015,4549576215563,64600,https://www.1-chome.com/wineDetail/5271/5271,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Xbox Series S 512 GB RRS-00015,Xbox Series S 512 GB RRS-00015,4549576167718,55500,https://www.1-chome.com/wineDetail/1190/1190,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch 2（日本語・国内専用） Pokemon LEGENDS Z-A Nintendo Switch 2 Edition セット,Nintendo Switch 2（日本語・国内専用） Pokemon LEGENDS Z-A Nintendo Switch 2 Edition セット,4902370553505,55000,https://www.1-chome.com/wineDetail/7609/7609,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Steam Deck LCD 256GB,Steam Deck LCD 256GB,0814585022056,50000,https://www.1-chome.com/wineDetail/5475/5475,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch (有機ELモデル) スカーレット・バイオレット,Nintendo Switch (有機ELモデル) スカーレット・バイオレット,4902370550412,45000,https://www.1-chome.com/wineDetail/4459/4459,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch (有機ELモデル) スプラトゥーン3,Nintendo Switch (有機ELモデル) スプラトゥーン3,4902370549706,45000,https://www.1-chome.com/wineDetail/4155/4155,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch (有機ELモデル) ゼルダの伝説,Nintendo Switch (有機ELモデル) ゼルダの伝説,4902370550481,45000,https://www.1-chome.com/wineDetail/4973/4973,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch (有機ELモデル) マリオレッド,Nintendo Switch (有機ELモデル) マリオレッド,4902370551495,41000,https://www.1-chome.com/wineDetail/5279/5279,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PS5 Edge コントローラー 30周年 CFI-ZCP1J30,PS5 Edge コントローラー 30周年 CFI-ZCP1J30,4948872416504,40000,https://www.1-chome.com/wineDetail/6120/6120,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation4 500GB CUH-2200AB01,PlayStation4 500GB CUH-2200AB01,4948872414647,36500,https://www.1-chome.com/wineDetail/687/687,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 新型モデル CFI-1200A01,PlayStation5 新型モデル CFI-1200A01,4948872415552,35000,https://www.1-chome.com/wineDetail/6746/6746,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation Portal リモートプレーヤー ブラック CFIJ-18001,PlayStation Portal リモートプレーヤー ブラック CFIJ-18001,4948872017251,34000,https://www.1-chome.com/wineDetail/6364/6364,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation Portal(TM) リモートプレーヤー 30周年 CFIJ-18030,PlayStation Portal(TM) リモートプレーヤー 30周年  CFIJ-18030,4948872017244,34000,https://www.1-chome.com/wineDetail/6119/6119,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Logicool G ステアリングコントローラー LPRC-15000D ブラック,Logicool G ステアリングコントローラー LPRC-15000D ブラック,4943765048145,32000,https://www.1-chome.com/wineDetail/5529/5529,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch Sports セット,Nintendo Switch Sports セット,4902370551013,31500,https://www.1-chome.com/wineDetail/4570/4570,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation5 デジタル新型モデル CFI-1200B01,PlayStation5 デジタル新型モデル CFI-1200B01,4948872415545,30000,https://www.1-chome.com/wineDetail/6747/6747,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch Lite ハイラルエディション,Nintendo Switch Lite ハイラルエディション,4902370552232,29000,https://www.1-chome.com/wineDetail/5858/5858,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch Lite コーラル あつまれ どうぶつの森セット,Nintendo Switch Lite コーラル  あつまれ　どうぶつの森セット,4902370551471,28000,https://www.1-chome.com/wineDetail/5400/5400,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Nintendo Switch Lite ターコイズ あつまれ どうぶつの森セット,Nintendo Switch Lite ターコイズ あつまれ　どうぶつの森セット,4902370551457,28000,https://www.1-chome.com/wineDetail/5399/5399,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PS5 Edge コントローラー ブラック CFI-ZCP1J01,PS5 Edge コントローラー ブラック CFI-ZCP1J01,4948872416603,26200,https://www.1-chome.com/wineDetail/6366/6366,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PS5 Edge コントローラー CFI-ZCP1J,PS5 Edge コントローラー CFI-ZCP1J,4948872415712,24200,https://www.1-chome.com/wineDetail/4702/4702,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Xbox Elite ワイヤレス コントローラー シリーズ 2 – Halo Infinite リミテッド エディション,Xbox Elite ワイヤレス コントローラー シリーズ 2 – Halo Infinite リミテッド エディション,4549576167893,24200,https://www.1-chome.com/wineDetail/1880/1880,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,Steam Controller コントローラー,Steam Controller コントローラー,0814585022803,23500,https://www.1-chome.com/wineDetail/8821/8821,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation PULSE Explore ワイヤレスイヤホン CFI-ZWE1J,PlayStation PULSE Explore ワイヤレスイヤホン  CFI-ZWE1J,4948872416245,23000,https://www.1-chome.com/wineDetail/5487/5487,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation PULSE Explore ワイヤレスイヤホン ミッドナイト ブラック CFI-ZWE1J01,PlayStation PULSE Explore ワイヤレスイヤホン ミッドナイト ブラック CFI-ZWE1J01,4948872416641,23000,https://www.1-chome.com/wineDetail/6365/6365,,,JANあり、初回追加候補カテゴリ
A,new_candidate,ゲーム,PlayStation PULSE Explore ワイヤレスイヤホン CFI-ZWE1JC,PlayStation PULSE Explore ワイヤレスイヤホン CFI-ZWE1JC,4948872416900,22000,https://www.1-chome.com/wineDetail/8478/8478,,,JANあり、初回追加候補カテゴリ
