decision,rank,score,family,tier,capacity,color,priority,ichome_title,jan,price,url,reason,note
初回追加候補,S,120,iPhone 16 Pro Max,Pro Max,1TB,デザートチタニウム,A,iPhone 16 Pro Max 1TB デザートチタニウム,4549995536522,242500,https://www.1-chome.com/mobileDetail/1065/1065,JANあり、Pro Max、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,120,iPhone 16 Pro Max,Pro Max,1TB,ナチュラルチタニウム,A,iPhone 16 Pro Max 1TB ナチュラルチタニウム,4549995536539,242500,https://www.1-chome.com/mobileDetail/1065/1065,JANあり、Pro Max、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,120,iPhone 16 Pro Max,Pro Max,1TB,ブラックチタニウム,A,iPhone 16 Pro Max 1TB ブラックチタニウム,4549995536508,242500,https://www.1-chome.com/mobileDetail/1065/1065,JANあり、Pro Max、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,120,iPhone 16 Pro Max,Pro Max,1TB,ホワイトチタニウム,A,iPhone 16 Pro Max 1TB ホワイトチタニウム,4549995536515,242500,https://www.1-chome.com/mobileDetail/1065/1065,JANあり、Pro Max、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,117,iPhone 16 Pro Max,Pro Max,512GB,デザートチタニウム,A,iPhone 16 Pro Max 512GB デザートチタニウム,4549995536485,213500,https://www.1-chome.com/mobileDetail/1064/1064,JANあり、Pro Max、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,117,iPhone 16 Pro Max,Pro Max,512GB,ナチュラルチタニウム,A,iPhone 16 Pro Max 512GB ナチュラルチタニウム,4549995536492,213500,https://www.1-chome.com/mobileDetail/1064/1064,JANあり、Pro Max、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,117,iPhone 16 Pro Max,Pro Max,512GB,ブラックチタニウム,A,iPhone 16 Pro Max 512GB ブラックチタニウム,4549995536461,213500,https://www.1-chome.com/mobileDetail/1064/1064,JANあり、Pro Max、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,117,iPhone 16 Pro Max,Pro Max,512GB,ホワイトチタニウム,A,iPhone 16 Pro Max 512GB ホワイトチタニウム,4549995536478,213500,https://www.1-chome.com/mobileDetail/1064/1064,JANあり、Pro Max、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,115,iPhone 16 Pro,Pro,1TB,デザートチタニウム,A,iPhone 16 Pro 1TB デザートチタニウム,4549995533163,219000,https://www.1-chome.com/mobileDetail/1069/1069,JANあり、Pro、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,115,iPhone 16 Pro,Pro,1TB,ナチュラルチタニウム,A,iPhone 16 Pro 1TB ナチュラルチタニウム,4549995533217,219000,https://www.1-chome.com/mobileDetail/1069/1069,JANあり、Pro、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,115,iPhone 16 Pro,Pro,1TB,ブラックチタニウム,A,iPhone 16 Pro 1TB ブラックチタニウム,4549995533064,219000,https://www.1-chome.com/mobileDetail/1069/1069,JANあり、Pro、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,115,iPhone 16 Pro,Pro,1TB,ホワイトチタニウム,A,iPhone 16 Pro 1TB ホワイトチタニウム,4549995533118,219000,https://www.1-chome.com/mobileDetail/1069/1069,JANあり、Pro、1TB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,113,iPhone 16 Pro Max,Pro Max,256GB,デザートチタニウム,A,iPhone 16 Pro Max 256GB デザートチタニウム,4549995536447,188000,https://www.1-chome.com/mobileDetail/1063/1063,JANあり、Pro Max、256GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
